"","X.1","Participant","X","Pattern","Wins","Losses","Super_Wins","Super_Losses","Face_Shown","Choice","RT","Condition","Pattern.Outcome","acc","Choice_numeric","Actual.Outcome","Stimuli","Category","Trial","age","gender","ethnicity","Att","EX","HH","SDO","EMS","IMS","blk_contact","blk_exp","intergroup_anx","mean_acc","avg_acc"
"1",1,"06eSCkYeAA",1,13,0,0,1,0,3,"touchdown","4.047",2,0,1,1,1,"black",2,171,19,1,"Asian",4.333333333,5,3.1,3.875,6,6.2,2,5.4,2.5,0.873684210526316,0.873684210526316
"2",2,"06eSCkYeAA",2,3,0,0,1,0,6,"touchdown","1.639",2,1,1,1,1,"white",1,130,19,1,"Asian",4.333333333,5,3.1,3.875,6,6.2,2,5.4,2.5,0.873684210526316,0.873684210526316
"3",3,"06eSCkYeAA",3,6,0,0,1,0,8,"touchdown","1.543",2,1,1,1,1,"black",2,169,19,1,"Asian",4.333333333,5,3.1,3.875,6,6.2,2,5.4,2.5,0.873684210526316,0.873684210526316
"4",4,"06eSCkYeAA",4,6,0,0,1,0,2,"touchdown","1.825",2,1,1,1,1,"white",1,170,19,1,"Asian",4.333333333,5,3.1,3.875,6,6.2,2,5.4,2.5,0.873684210526316,0.873684210526316
"5",5,"06eSCkYeAA",5,10,1,0,0,0,5,"no_touchdown","1.111",2,-1,1,0,-1,"black",2,125,19,1,"Asian",4.333333333,5,3.1,3.875,6,6.2,2,5.4,2.5,0.873684210526316,0.873684210526316
"6",6,"06eSCkYeAA",6,5,1,0,0,0,3,"touchdown","2.231",2,1,1,1,1,"black",2,166,19,1,"Asian",4.333333333,5,3.1,3.875,6,6.2,2,5.4,2.5,0.873684210526316,0.873684210526316
"7",7,"06eSCkYeAA",7,10,0,0,1,0,2,"no_touchdown","1.954",2,-1,1,0,-1,"white",1,167,19,1,"Asian",4.333333333,5,3.1,3.875,6,6.2,2,5.4,2.5,0.873684210526316,0.873684210526316
"8",8,"06eSCkYeAA",8,7,0,0,1,0,6,"no_touchdown","2.238",2,-1,1,0,-1,"white",1,168,19,1,"Asian",4.333333333,5,3.1,3.875,6,6.2,2,5.4,2.5,0.873684210526316,0.873684210526316
"9",9,"06eSCkYeAA",9,10,0,0,1,0,4,"no_touchdown","0.166",2,-1,1,0,-1,"black",2,124,19,1,"Asian",4.333333333,5,3.1,3.875,6,6.2,2,5.4,2.5,0.873684210526316,0.873684210526316
"10",10,"06eSCkYeAA",10,3,0,0,1,0,3,"touchdown","3.295",2,1,1,1,1,"black",2,139,19,1,"Asian",4.333333333,5,3.1,3.875,6,6.2,2,5.4,2.5,0.873684210526316,0.873684210526316
"11",11,"06eSCkYeAA",11,7,0,0,1,0,1,"no_touchdown","1.751",2,-1,1,0,-1,"white",1,126,19,1,"Asian",4.333333333,5,3.1,3.875,6,6.2,2,5.4,2.5,0.873684210526316,0.873684210526316
"12",12,"06eSCkYeAA",12,3,0,0,1,0,8,"touchdown","2.319",2,1,1,1,1,"black",2,127,19,1,"Asian",4.333333333,5,3.1,3.875,6,6.2,2,5.4,2.5,0.873684210526316,0.873684210526316
